States,District,Less than 100,100 to 200,200 to 500,Above 500,NA,Total,Less than 100 (%),100 to 200 (%),200 to 500 (%),Above 500 (%),NA (%)
Andhra Pradesh,Guntur,79,1,0,0,0,80,98.75,1.25,0,0,0
Andhra Pradesh,Medak,80,0,0,0,0,80,100,0,0,0,0
Assam,Kamrup,79,1,0,0,0,80,98.75,1.25,0,0,0
Assam,Nalbari,80,0,0,0,0,80,100,0,0,0,0
Bihar,Jehanabad,53,24,3,0,0,80,66.25,30,3.75,0,0
Bihar,Madhubani,58,16,6,0,0,80,72.5,20,7.5,0,0
Bihar,Muzaffarpur,57,20,3,0,0,80,71.25,25,3.75,0,0
Gujurat,Mahsana,74,3,1,2,0,80,92.5,3.75,1.25,2.5,0
Gujurat,Narmada,76,2,1,0,1,80,95,2.5,1.25,0,1.25
Haryana,Kurukshetra,39,20,21,0,0,80,48.75,25,26.25,0,0
Haryana,Panchkula,41,12,27,0,0,80,51.25,15,33.75,0,0
Himachal Pradesh,Bilaspur,60,16,4,0,0,80,75,20,5,0,0
Himachal Pradesh,Sirmaur,60,7,13,0,0,80,75,8.75,16.25,0,0
Jharkhand,Purbi Singhbhum,56,19,5,0,0,80,70,23.75,6.25,0,0
Jharkhand,Ranchi,56,21,3,0,0,80,70,26.25,3.75,0,0
Karnataka,Haveri,79,1,0,0,0,80,98.75,1.25,0,0,0
Karnataka,Mandya,80,0,0,0,0,80,100,0,0,0,0
Madhya Pradesh,Guna,79,1,0,0,0,80,98.75,1.25,0,0,0
Madhya Pradesh,Indore,80,0,0,0,0,80,100,0,0,0,0
Madhya Pradesh,Ratlam,79,1,0,0,0,80,98.75,1.25,0,0,0
Odisha,Angul,63,14,3,0,0,80,78.75,17.5,3.75,0,0
Odisha,Bargarh,53,20,7,0,0,80,66.25,25,8.75,0,0
Odisha,Kendrapara,52,14,14,0,0,80,65,17.5,17.5,0,0
Punjab,Moga,72,8,0,0,0,80,90,10,0,0,0
Punjab,Patiala,72,8,0,0,0,80,90,10,0,0,0
Rajasthan,Jaipur,5,59,0,16,0,80,6.25,73.75,0,20,0
Rajasthan,Jhalawar,35,42,3,0,0,80,43.75,52.5,3.75,0,0
Rajasthan,Rajsamand,40,40,0,0,0,80,50,50,0,0,0
Tamilnadu,Cuddalore,0,70,0,0,10,80,0,87.5,0,0,12.5
Tamilnadu,Erode,0,80,0,0,0,80,0,100,0,0,0
Tamilnadu,Tiruvannamalai,0,80,0,0,0,80,0,100,0,0,0
Uttar Pradesh,Barabanki,49,31,0,0,0,80,61.25,38.75,0,0,0
Uttar Pradesh,Hathras,52,28,0,0,0,80,65,35,0,0,0
Uttar Pradesh,Kannauj,48,32,0,0,0,80,60,40,0,0,0
Uttar Pradesh,Sant Kabir Nagar,45,35,0,0,0,80,56.25,43.75,0,0,0
Uttar Pradesh,Sant Ravidas Nagar,46,34,0,0,0,80,57.5,42.5,0,0,0
West Bengal,North 24 Parganas,79,1,0,0,0,80,98.75,1.25,0,0,0
West Bengal,Paschim Medinipur,80,0,0,0,0,80,100,0,0,0,0
Total,Total,2136,761,114,18,11,3040,70.3,25,3.8,0.6,0.4
